source,id,owner_id,owner_code,owner_name,warehouse_id,warehouse_code,product_id,product_code,product_name,location_id,location_code,current_batch_no,current_production_date,current_expiry_date,current_serial_no,problems,new_batch_no,new_production_date,new_expiry_date,new_serial_no,note
detail,55,3,dz,邓总,1,1,439,DZ-0028,灰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,56,3,dz,邓总,1,1,440,DZ-0029,灰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,57,3,dz,邓总,1,1,441,DZ-0030,灰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,58,3,dz,邓总,1,1,442,DZ-0031,灰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,59,3,dz,邓总,1,1,443,DZ-0032,灰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,60,3,dz,邓总,1,1,444,DZ-0033,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,61,3,dz,邓总,1,1,445,DZ-0034,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,62,3,dz,邓总,1,1,446,DZ-0035,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,63,3,dz,邓总,1,1,447,DZ-0036,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,64,3,dz,邓总,1,1,448,DZ-0037,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,65,3,dz,邓总,1,1,449,DZ-0038,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,66,3,dz,邓总,1,1,450,DZ-0039,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,67,3,dz,邓总,1,1,451,DZ-0040,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,68,3,dz,邓总,1,1,454,DZ-0043,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,69,3,dz,邓总,1,1,455,DZ-0044,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,70,3,dz,邓总,1,1,456,DZ-0045,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,71,3,dz,邓总,1,1,457,DZ-0046,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,72,3,dz,邓总,1,1,458,DZ-0047,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,73,3,dz,邓总,1,1,459,DZ-0048,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,74,3,dz,邓总,1,1,460,DZ-0049,红拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,75,3,dz,邓总,1,1,461,DZ-0050,灰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,76,3,dz,邓总,1,1,462,DZ-0051,灰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,77,3,dz,邓总,1,1,463,DZ-0052,灰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,78,3,dz,邓总,1,1,464,DZ-0053,黑拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,79,3,dz,邓总,1,1,465,DZ-0054,黑拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,80,3,dz,邓总,1,1,466,DZ-0055,黑拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,81,3,dz,邓总,1,1,467,DZ-0056,绿拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,82,3,dz,邓总,1,1,468,DZ-0057,绿拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,83,3,dz,邓总,1,1,469,DZ-0058,绿拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,84,3,dz,邓总,1,1,470,DZ-0059,绿拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,85,3,dz,邓总,1,1,471,DZ-0060,紫拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,86,3,dz,邓总,1,1,472,DZ-0061,紫拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,87,3,dz,邓总,1,1,473,DZ-0062,紫拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,88,3,dz,邓总,1,1,474,DZ-0063,天兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,89,3,dz,邓总,1,1,475,DZ-0064,天兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,90,3,dz,邓总,1,1,476,DZ-0065,艳兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,91,3,dz,邓总,1,1,477,DZ-0066,艳兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,92,3,dz,邓总,1,1,478,DZ-0067,艳兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,93,3,dz,邓总,1,1,479,DZ-0068,艳兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,94,3,dz,邓总,1,1,480,DZ-0069,艳兰拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,95,3,dz,邓总,1,1,481,DZ-0070,艳兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,96,3,dz,邓总,1,1,482,DZ-0071,艳兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,97,3,dz,邓总,1,1,483,DZ-0072,艳兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,98,3,dz,邓总,1,1,485,DZ-0074,天兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,99,3,dz,邓总,1,1,486,DZ-0075,天兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,100,3,dz,邓总,1,1,487,DZ-0076,黑平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,101,3,dz,邓总,1,1,488,DZ-0077,黑平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,102,3,dz,邓总,1,1,489,DZ-0078,黑平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,103,3,dz,邓总,1,1,490,DZ-0079,绿平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,104,3,dz,邓总,1,1,491,DZ-0080,绿平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,105,3,dz,邓总,1,1,492,DZ-0081,绿平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,106,3,dz,邓总,1,1,493,DZ-0082,绿平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,107,3,dz,邓总,1,1,494,DZ-0083,白平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,108,3,dz,邓总,1,1,495,DZ-0084,白平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,109,3,dz,邓总,1,1,496,DZ-0085,白平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,110,3,dz,邓总,1,1,497,DZ-0086,白平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,111,3,dz,邓总,1,1,498,DZ-0087,粉平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,112,3,dz,邓总,1,1,499,DZ-0088,粉平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,113,3,dz,邓总,1,1,500,DZ-0089,粉平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,114,3,dz,邓总,1,1,501,DZ-0090,香槟平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,115,3,dz,邓总,1,1,502,DZ-0091,香槟平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,116,3,dz,邓总,1,1,503,DZ-0092,驼平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,117,3,dz,邓总,1,1,504,DZ-0093,驼平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,118,3,dz,邓总,1,1,505,DZ-0094,咖啡平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,119,3,dz,邓总,1,1,506,DZ-0095,咖啡平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,120,3,dz,邓总,1,1,508,DZ-0097,桔黄平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,121,3,dz,邓总,1,1,509,DZ-0098,明黄平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,122,3,dz,邓总,1,1,510,DZ-0099,桃红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,123,3,dz,邓总,1,1,511,DZ-0100,酒红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,124,3,dz,邓总,1,1,512,DZ-0101,酒红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,125,3,dz,邓总,1,1,513,DZ-0102,酒红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,126,3,dz,邓总,1,1,514,DZ-0103,酒红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,127,3,dz,邓总,1,1,515,DZ-0104,黑红平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,128,3,dz,邓总,1,1,517,DZ-0106,淡兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,129,3,dz,邓总,1,1,518,DZ-0107,淡兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,130,3,dz,邓总,1,1,519,DZ-0108,淡兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,131,3,dz,邓总,1,1,520,DZ-0109,浅紫平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,132,3,dz,邓总,1,1,521,DZ-0110,浅紫平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,133,3,dz,邓总,1,1,522,DZ-0111,果绿平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,134,3,dz,邓总,1,1,523,DZ-0112,果绿平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,135,3,dz,邓总,1,1,525,DZ-0114,白拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,136,3,dz,邓总,1,1,526,DZ-0115,白拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,137,3,dz,邓总,1,1,527,DZ-0116,白拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,138,3,dz,邓总,1,1,528,DZ-0117,鸵拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,139,3,dz,邓总,1,1,529,DZ-0118,鸵拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,140,3,dz,邓总,1,1,530,DZ-0119,鸵拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,141,3,dz,邓总,1,1,531,DZ-0120,粉拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,142,3,dz,邓总,1,1,532,DZ-0121,粉拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,143,3,dz,邓总,1,1,533,DZ-0122,粉拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,144,3,dz,邓总,1,1,534,DZ-0123,咖啡拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,145,3,dz,邓总,1,1,535,DZ-0124,咖啡拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,146,3,dz,邓总,1,1,536,DZ-0125,咖啡拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,147,3,dz,邓总,1,1,537,DZ-0126,咖啡拉,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,148,3,dz,邓总,1,1,538,DZ-0127,蒂芙尼兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,149,3,dz,邓总,1,1,539,DZ-0128,蒂芙尼兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,150,3,dz,邓总,1,1,540,DZ-0129,蒂芙尼兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,151,3,dz,邓总,1,1,541,DZ-0130,蒂芙尼兰平,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,28,4,rxgsnn,锐鑫公司（南宁）,1,1,409,RX-0001,石磨米粉,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
detail,29,4,rxgsnn,锐鑫公司（南宁）,1,1,410,RX-0002,小纸箱,1,8-1-1-1,,,,,missing_batch_no,,,,,
detail,30,4,rxgsnn,锐鑫公司（南宁）,1,1,411,RX-0003,大纸箱,1,8-1-1-1,,,,,missing_batch_no,,,,,
transaction,218,1,byny,博悦农业,1,1,370,BYNY-0001,国曼8号鸡蛋,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,1,1,byny,博悦农业,1,1,372,BYNY-0003,坚果包装罐子,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,2,1,byny,博悦农业,1,1,373,BYNY-0004,坚果包装盖子,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,3,1,byny,博悦农业,1,1,374,BYNY-0005,坚果包装封口铝膜,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,4,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,184,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,185,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,186,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
transaction,187,1,byny,博悦农业,1,1,376,BYNY-0007,全豆豆奶自立袋248ml,1,8-1-1-1,,,,,"missing_batch_no,missing_expiry_date,missing_production_date",,,,,
